table,domain,index,columns,kind,size_bytes,scans,flags
blood_unit_tti_tests,Blood Bank,blood_tti_hospital_idx,hospital_id,INDEX,8192,101,none
blood_unit_tti_tests,Blood Bank,blood_tti_result_idx,overall_result,INDEX,8192,0,ZERO scans since stats reset
blood_unit_tti_tests,Blood Bank,blood_tti_unit_idx,unit_id,INDEX,8192,0,"ZERO scans since stats reset; DUPLICATE column set: blood_unit_tti_tests_unit_id_key, blood_tti_unit_idx"
blood_unit_tti_tests,Blood Bank,blood_unit_tti_tests_pkey,id,PK,8192,0,none
blood_unit_tti_tests,Blood Bank,blood_unit_tti_tests_unit_id_key,unit_id,UNIQUE,8192,0,"DUPLICATE column set: blood_unit_tti_tests_unit_id_key, blood_tti_unit_idx"
blood_units,Blood Bank,blood_units_hospital_unit_number_key,hospital_id unit_number,UNIQUE,8192,109,none
blood_units,Blood Bank,blood_units_pkey,id,PK,8192,0,none
blood_units,Blood Bank,blood_units_qr_code_unique,qr_code,UNIQUE,8192,0,none
bmw_manifests,Biomedical Waste,bmw_manifests_pkey,id,PK,8192,0,none
bmw_manifests,Biomedical Waste,idx_bmw_manifests_hospital,hospital_id manifest_date,INDEX,8192,106,none
bmw_records,Biomedical Waste,bmw_records_pkey,id,PK,8192,0,none
bmw_records,Biomedical Waste,idx_bmw_hospital_date,hospital_id record_date,INDEX,8192,288,none
body_releases,Other,body_releases_pkey,id,PK,8192,0,none
body_releases,Other,idx_body_releases_hospital,hospital_id,INDEX,8192,108,none
bpmh_records,Other,bpmh_records_pkey,id,PK,8192,0,none
bpmh_records,Other,idx_bpmh_admission,hospital_id admission_id,INDEX,8192,161,none
braden_scale_assessments,Other,braden_scale_assessments_pkey,id,PK,8192,0,none
braden_scale_assessments,Other,idx_braden_admission,hospital_id admission_id assessed_at,INDEX,8192,165,none
branches,Tenant,branches_pkey,id,PK,8192,0,none
breakdown_logs,Other,breakdown_logs_pkey,id,PK,8192,0,none
breakdown_logs,Other,idx_breakdown_equipment,equipment_id,INDEX,8192,0,ZERO scans since stats reset
breakdown_logs,Other,idx_breakdown_status,hospital_id status,INDEX,8192,235,none
budget_lines,Other,budget_lines_pkey,id,PK,8192,0,none
budget_lines,Other,idx_budget_lines_hospital,hospital_id fiscal_year period_month,INDEX,8192,255,none
calibration_records,Other,calibration_records_pkey,id,PK,8192,0,none
calibration_records,Other,idx_calibration_next,hospital_id next_due,INDEX,8192,124,none
capa_records,Other,capa_records_hospital_capa_number_key,hospital_id capa_number,UNIQUE,16384,253,none
capa_records,Other,capa_records_pkey,id,PK,16384,6,none
care_bundle_checks,Other,care_bundle_checks_hospital_id_admission_id_bundle_type_che_key,hospital_id admission_id bundle_type check_date,UNIQUE,8192,0,"DUPLICATE column set: care_bundle_checks_hospital_id_admission_id_bundle_type_che_key, idx_care_bundles_admission"
care_bundle_checks,Other,care_bundle_checks_pkey,id,PK,8192,0,none
care_bundle_checks,Other,idx_care_bundles_admission,hospital_id admission_id bundle_type check_date,INDEX,8192,102,"DUPLICATE column set: care_bundle_checks_hospital_id_admission_id_bundle_type_che_key, idx_care_bundles_admission"
care_plan_tasks,Nursing,care_plan_tasks_pkey,id,PK,8192,0,none
